dates	acc
2016-03-15	0.16666666666666666
2016-04-15	0.16666666666666666
2016-05-15	0.16666666666666666
2016-06-15	1.0
2016-07-15	1.0
2016-08-15	1.0
2016-09-15	1.0
2016-10-15	1.0
2016-11-15	1.0
2016-12-15	1.0
2017-01-15	1.0
2017-02-15	1.0
2017-03-15	1.0
2017-04-15	1.0
2017-05-15	1.0
2017-06-15	0.9166666666666666
2017-07-15	0.8333333333333334
2017-08-15	0.75
2017-09-15	0.6666666666666666
2017-10-15	0.5833333333333334
2017-11-15	0.5
2017-12-15	0.4166666666666667
2018-01-15	0.3333333333333333
2018-02-15	0.25
2018-03-15	0.16666666666666666
2018-04-15	0.16666666666666666
2018-05-15	0.16666666666666666
2018-06-15	0.16666666666666666
2018-07-15	0.16666666666666666
2018-08-15	0.16666666666666666
2018-09-15	0.16666666666666666
2018-10-15	0.16666666666666666
2018-11-15	0.16666666666666666
2018-12-15	0.16666666666666666
2019-01-15	0.16666666666666666
2019-02-15	0.16666666666666666
2019-03-15	0.16666666666666666
2019-04-15	0.16666666666666666
2019-05-15	1.0
2019-06-15	1.0
2019-07-15	1.0
2019-08-15	1.0
2019-09-15	1.0
2019-10-15	1.0
2019-11-15	1.0
2019-12-15	1.0
2020-01-15	1.0
2020-02-15	1.0
2020-03-15	1.0
2020-04-15	0.9166666666666666
2020-05-15	0.8333333333333334
2020-06-15	0.75
2020-07-15	0.75
2020-08-15	0.75
2020-09-15	0.75
2020-10-15	0.75
2020-11-15	0.6666666666666666
2020-12-15	0.6666666666666666
